Occupation;Income;Education;Prestige
accountant;62;86;82
pilot;72;76;83
architect;75;92;90
author;55;90;76
chemist;64;86;90
minister;21;84;87
professor;64;93;93
dentist;80;100;90
reporter;67;87;52
engineer;72;86;88
undertaker;42;74;57
lawyer;76;98;89
physician;76;97;97
welfare.worker;41;84;59
teacher;48;91;73
conductor;76;34;38
contractor;53;45;76
factory.owner;60;56;81
store.manager;42;44;45
banker;78;82;92
bookkeeper;29;72;39
mail.carrier;48;55;34
insurance.agent;55;71;41
store.clerk;29;50;16
carpenter;21;23;33
electrician;47;39;53
RR.engineer;81;28;67
machinist;36;32;57
auto.repairman;22;22;26
plumber;44;25;29
gas.stn.attendant;15;29;10
coal.miner;7;7;15
streetcar.motorman;42;26;19
taxi.driver;9;19;10
truck.driver;21;15;13
machine.operator;21;20;24
barber;16;26;20
bartender;16;28;7
shoe.shiner;9;17;3
cook;14;22;16
soda.clerk;12;30;6
watchman;17;25;11
janitor;7;20;8
policeman;34;47;41
waiter;8;32;10
